Remapped Interrupt supported on IOMMU: dmar18
 IR table address:1080100000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     79:00.4 00030010 20  0000000000047904	000300100020000d

Remapped Interrupt supported on IOMMU: dmar17
 IR table address:1080200000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     74:00.4 00030004 20  0000000000047404	000300040020000d

Remapped Interrupt supported on IOMMU: dmar16
 IR table address:100900000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     6f:00.4 00011000 20  0000000000046f04	000110000020000d

Remapped Interrupt supported on IOMMU: dmar15
 IR table address:100a00000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     6a:00.4 00010400 20  0000000000046a04	000104000020000d
 1     6a:01.0 00010040 27  0000000000046a08	000100400027000d
 2     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 3     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 4     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 5     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 6     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 7     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 8     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d
 9     6a:01.0 00000001 ef  0000000000046a08	0000000100ef000d

Remapped Interrupt supported on IOMMU: dmar14
 IR table address:1080400000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     59:00.4 00020400 20  0000000000045904	000204000020000d
 1     59:01.0 00020800 25  0000000000045908	000208000025000d
 2     59:05.0 00030001 20  0000000000045928	000300010020000d
 3     59:07.0 00032000 25  0000000000045938	000320000025000d

Remapped Interrupt supported on IOMMU: dmar13
 IR table address:1080500000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     48:00.4 00020040 20  0000000000044804	000200400020000d
 1     48:01.0 00022000 25  0000000000044808	000220000025000d

Remapped Interrupt supported on IOMMU: dmar12
 IR table address:100b00000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     37:00.4 00010040 20  0000000000043704	000100400020000d
 1     37:01.0 00010400 22  0000000000043708	000104000022000d
 2     38:00.0 00010800 2b  0000000000043800	00010800002b000d
 3     38:00.0 00008000 26  0000000000043800	000080000026000d
 4     38:00.0 00011000 26  0000000000043800	000110000026000d
 5     38:00.0 00010010 22  0000000000043800	000100100022000d
 6     38:00.0 00018000 26  0000000000043800	000180000026000d
 7     38:00.0 00010020 2c  0000000000043800	00010020002c000d
 8     38:00.0 00010004 27  0000000000043800	000100040027000d
 9     38:00.0 00010020 2b  0000000000043800	00010020002b000d
 10    38:00.0 00002000 22  0000000000043800	000020000022000d
 11    38:00.0 00002000 26  0000000000043800	000020000026000d
 12    38:00.0 00000080 22  0000000000043800	000000800022000d
 13    38:00.0 00010200 29  0000000000043800	000102000029000d
 14    38:00.0 00010080 21  0000000000043800	000100800021000d
 15    38:00.0 00010200 21  0000000000043800	000102000021000d
 16    38:00.0 00010100 22  0000000000043800	000101000022000d
 17    38:00.0 00018000 28  0000000000043800	000180000028000d
 18    38:00.0 00000001 25  0000000000043800	000000010025000d
 19    38:00.0 00000002 26  0000000000043800	000000020026000d
 20    38:00.0 00000080 26  0000000000043800	000000800026000d
 21    38:00.0 00018000 21  0000000000043800	000180000021000d
 22    38:00.0 00000008 22  0000000000043800	000000080022000d
 23    38:00.0 00010040 22  0000000000043800	000100400022000d
 24    38:00.0 00010008 21  0000000000043800	000100080021000d
 25    38:00.0 00000020 2e  0000000000043800	00000020002e000d
 26    38:00.0 00000020 26  0000000000043800	000000200026000d
 27    38:00.0 00000020 2c  0000000000043800	00000020002c000d
 28    38:00.0 00010001 26  0000000000043800	000100010026000d
 29    38:00.0 00010002 2c  0000000000043800	00010002002c000d
 30    38:00.0 00000008 2a  0000000000043800	00000008002a000d
 31    38:00.0 00000800 26  0000000000043800	000008000026000d
 32    38:00.0 00008000 22  0000000000043800	000080000022000d
 33    38:00.0 00010004 26  0000000000043800	000100040026000d
 34    38:00.1 00000200 29  0000000000043801	000002000029000d
 35    38:00.1 00010080 2b  0000000000043801	00010080002b000d
 36    38:00.1 00000800 31  0000000000043801	000008000031000d
 37    38:00.1 00000800 2b  0000000000043801	00000800002b000d
 38    38:00.1 00010001 30  0000000000043801	000100010030000d
 39    38:00.1 00010002 33  0000000000043801	000100020033000d
 40    38:00.1 00000800 33  0000000000043801	000008000033000d
 41    38:00.1 00010020 28  0000000000043801	000100200028000d
 42    38:00.1 00010200 28  0000000000043801	000102000028000d
 43    38:00.1 00000008 33  0000000000043801	000000080033000d
 44    38:00.1 00010004 31  0000000000043801	000100040031000d
 45    38:00.1 00010008 2f  0000000000043801	00010008002f000d
 46    38:00.1 00014000 2a  0000000000043801	00014000002a000d
 47    38:00.1 00010010 2d  0000000000043801	00010010002d000d
 48    38:00.1 00010100 26  0000000000043801	000101000026000d
 49    38:00.1 00002000 3d  0000000000043801	00002000003d000d
 50    38:00.1 00010400 2e  0000000000043801	00010400002e000d
 51    38:00.1 00010800 2f  0000000000043801	00010800002f000d
 52    38:00.1 00008000 3b  0000000000043801	00008000003b000d
 53    38:00.1 00008000 3c  0000000000043801	00008000003c000d
 54    38:00.1 00002000 34  0000000000043801	000020000034000d
 55    38:00.1 00000200 3b  0000000000043801	00000200003b000d
 56    38:00.1 00000080 35  0000000000043801	000000800035000d
 57    38:00.1 00000001 34  0000000000043801	000000010034000d
 58    38:00.1 00014000 2f  0000000000043801	00014000002f000d
 59    38:00.1 00018000 30  0000000000043801	000180000030000d
 60    38:00.1 00000080 3b  0000000000043801	00000080003b000d
 61    38:00.1 00000080 3c  0000000000043801	00000080003c000d
 62    38:00.1 00012000 31  0000000000043801	000120000031000d
 63    38:00.1 00011000 33  0000000000043801	000110000033000d
 64    38:00.1 00018000 2f  0000000000043801	00018000002f000d
 65    38:00.1 00010100 2f  0000000000043801	00010100002f000d

Remapped Interrupt supported on IOMMU: dmar11
 IR table address:100d00000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     26:00.4 00010004 20  0000000000042604	000100040020000d
 1     26:01.0 00000080 28  0000000000042608	000000800028000d
 2     27:00.0 00010020 23  0000000000042700	000100200023000d
 3     27:00.0 00010040 26  0000000000042700	000100400026000d
 4     27:00.0 00000002 22  0000000000042700	000000020022000d
 5     27:00.0 00010004 22  0000000000042700	000100040022000d
 6     27:00.0 00010002 2f  0000000000042700	00010002002f000d
 7     27:00.0 00010200 26  0000000000042700	000102000026000d
 8     27:00.0 00012000 26  0000000000042700	000120000026000d
 9     27:00.0 00010010 2a  0000000000042700	00010010002a000d
 10    27:00.0 00000020 22  0000000000042700	000000200022000d
 11    27:00.1 00000200 3a  0000000000042701	00000200003a000d
 12    27:00.1 00010001 2f  0000000000042701	00010001002f000d
 13    27:00.1 00010100 2d  0000000000042701	00010100002d000d
 14    27:00.1 00011000 30  0000000000042701	000110000030000d
 15    27:00.1 00000020 3b  0000000000042701	00000020003b000d
 16    27:00.1 00010080 28  0000000000042701	000100800028000d
 17    27:00.1 00010010 2c  0000000000042701	00010010002c000d
 18    27:00.1 00000001 33  0000000000042701	000000010033000d
 19    27:00.1 00010008 2c  0000000000042701	00010008002c000d
 20    27:00.2 00010100 20  0000000000042702	000101000020000d
 21    27:00.2 00008000 2a  0000000000042702	00008000002a000d
 22    27:00.2 00011000 29  0000000000042702	000110000029000d
 23    27:00.2 00010800 24  0000000000042702	000108000024000d
 24    27:00.2 00010080 29  0000000000042702	000100800029000d
 25    27:00.2 00000080 2a  0000000000042702	00000080002a000d
 26    27:00.2 00010008 28  0000000000042702	000100080028000d
 27    27:00.2 00000008 28  0000000000042702	000000080028000d
 28    27:00.2 00000200 28  0000000000042702	000002000028000d
 29    27:00.3 00012000 30  0000000000042703	000120000030000d
 30    27:00.3 00000020 3a  0000000000042703	00000020003a000d
 31    27:00.3 00010040 2e  0000000000042703	00010040002e000d
 32    27:00.3 00010004 30  0000000000042703	000100040030000d
 33    27:00.3 00000080 34  0000000000042703	000000800034000d
 34    27:00.3 00000200 39  0000000000042703	000002000039000d
 35    27:00.3 00000008 2f  0000000000042703	00000008002f000d
 36    27:00.3 00010200 2f  0000000000042703	00010200002f000d
 37    27:00.3 00008000 33  0000000000042703	000080000033000d

Remapped Interrupt supported on IOMMU: dmar10
 IR table address:100e00000
 Entry SrcID   DstID    Vct IRTE_high		IRTE_low
 0     15:00.4 00010001 20  0000000000041504	000100010020000d
 1     15:01.0 00000008 3c  0000000000041508	00000008003c000d
 2     15:05.0 00011000 31  0000000000041528	000110000031000d
 3     16:00.0 00000020 28  0000000000041600	000000200028000d
 4     16:00.0 00008000 28  0000000000041600	000080000028000d
 5     16:00.0 00010008 26  0000000000041600	000100080026000d
 6     16:00.0 00014000 28  0000000000041600	000140000028000d
 7     16:00.0 00012000 21  0000000000041600	000120000021000d
 8     16:00.0 00010200 24  0000000000041600	000102000024000d
 9     16:00.0 00000008 3e  0000000000041600	00000008003e000d
 10    16:00.0 00000008 3d  0000000000041600	00000008003d000d
 11    16:00.0 00020002 20  0000000000041600	000200020020000d
 12    16:00.0 00020008 20  0000000000041600	000200080020000d
 13    16:00.0 00020010 21  0000000000041600	000200100021000d
 14    16:00.0 00020040 21  0000000000041600	000200400021000d
 15    16:00.0 00020100 21  0000000000041600	000201000021000d
 16    16:00.0 00020400 21  0000000000041600	000204000021000d
 17    16:00.0 00021000 21  0000000000041600	000210000021000d
 18    16:00.0 00024000 21  0000000000041600	000240000021000d
 19    16:00.0 00030001 21  0000000000041600	000300010021000d
 20    16:00.0 00030004 21  0000000000041600	000300040021000d
 21    16:00.0 00030010 21  0000000000041600	000300100021000d
 22    16:00.0 00030040 20  0000000000041600	000300400020000d
 23    16:00.0 00030100 20  0000000000041600	000301000020000d
 24    16:00.0 00030400 20  0000000000041600	000304000020000d
 25    16:00.0 00031000 20  0000000000041600	000310000020000d
 26    16:00.0 00034000 20  0000000000041600	000340000020000d
 27    16:00.0 00020020 20  0000000000041600	000200200020000d
 28    16:00.0 00020080 20  0000000000041600	000200800020000d
 29    16:00.0 00020200 20  0000000000041600	000202000020000d
 30    16:00.0 00020800 20  0000000000041600	000208000020000d
